cell_id,grid_row,grid_col,latitude,longitude,zone_name,lst_celsius,ndvi,building_density_pct,open_space_pct,road_density_km_per_sqkm,soil_type,annual_rainfall_mm,summer_max_temp_celsius,hvi_score,hvi_category,hvi_rank
BPL_CELL_0059,1,18,23.2315,77.4085,Arera Colony Residential Belt,34.23,0.416,40.3,47.6,8.9,Clay Loam,1128.2,42.5,0.3231,Low Vulnerability,1097
BPL_CELL_0060,1,19,23.2315,77.4095,Arera Colony Residential Belt,34.63,0.473,44.1,47.9,8.9,Clay Loam,1096.1,42.5,0.3186,Low Vulnerability,1115
BPL_CELL_0061,1,20,23.2315,77.4105,Arera Colony Residential Belt,34.7,0.414,32.7,45.8,7.7,Clay Loam,1085.3,42.5,0.3143,Low Vulnerability,1132
BPL_CELL_0062,1,21,23.2315,77.4115,Arera Colony Residential Belt,35.58,0.44,35.8,51.3,8.1,Clay Loam,1113.2,42.5,0.3186,Low Vulnerability,1116
BPL_CELL_0063,1,22,23.2315,77.4125,Arera Colony Residential Belt,34.73,0.395,35.1,48.9,8.1,Clay Loam,1088.8,42.5,0.3231,Low Vulnerability,1098
BPL_CELL_0064,1,23,23.2315,77.4135,Arera Colony Residential Belt,34.11,0.468,31.4,47.2,9.2,Clay Loam,1094.5,42.5,0.2747,Low Vulnerability,1250
BPL_CELL_0065,1,24,23.2315,77.4145,MP Nagar Commercial Zone,45.58,0.074,83.5,11.5,18.9,Deep Black Clay (Vertisol),1124.2,42.5,0.8782,Extreme Hotspot,166
BPL_CELL_0066,1,25,23.2315,77.4155,MP Nagar Commercial Zone,45.7,0.041,79.0,9.4,17.8,Deep Black Clay (Vertisol),1087.2,42.5,0.8847,Extreme Hotspot,133
BPL_CELL_0067,1,26,23.2315,77.4165,MP Nagar Commercial Zone,45.13,0.077,78.8,6.7,17.3,Deep Black Clay (Vertisol),1098.4,42.5,0.8644,Extreme Hotspot,256
BPL_CELL_0068,1,27,23.2315,77.4175,MP Nagar Commercial Zone,46.42,0.104,77.4,10.1,18.1,Deep Black Clay (Vertisol),1100.9,42.5,0.8673,Extreme Hotspot,238
BPL_CELL_0069,1,28,23.2315,77.4185,MP Nagar Commercial Zone,45.65,0.04,83.4,5.0,17.5,Deep Black Clay (Vertisol),1081.9,42.5,0.9061,Extreme Hotspot,52
BPL_CELL_0070,1,29,23.2315,77.4195,MP Nagar Commercial Zone,45.63,0.082,81.4,5.0,18.0,Deep Black Clay (Vertisol),1074.4,42.5,0.8831,Extreme Hotspot,145
BPL_CELL_0071,1,30,23.2315,77.4205,MP Nagar Commercial Zone,45.11,0.082,82.8,12.2,17.2,Deep Black Clay (Vertisol),1109.4,42.5,0.8625,Extreme Hotspot,272
BPL_CELL_0072,1,31,23.2315,77.4215,MP Nagar Commercial Zone,46.22,0.11,81.2,9.7,17.4,Deep Black Clay (Vertisol),1095.5,42.5,0.8731,Extreme Hotspot,202
BPL_CELL_0073,1,32,23.2315,77.4225,MP Nagar Commercial Zone,47.22,0.127,79.9,9.4,17.8,Deep Black Clay (Vertisol),1097.4,42.5,0.8823,Extreme Hotspot,148
BPL_CELL_0074,1,33,23.2315,77.4235,MP Nagar Commercial Zone,47.95,0.074,76.1,13.5,17.7,Deep Black Clay (Vertisol),1127.0,42.5,0.8978,Extreme Hotspot,78
BPL_CELL_0075,1,34,23.2315,77.4245,MP Nagar Commercial Zone,47.16,0.034,80.2,6.0,18.3,Deep Black Clay (Vertisol),1123.8,42.5,0.926,Extreme Hotspot,14
BPL_CELL_0076,1,35,23.2315,77.4255,MP Nagar Commercial Zone,45.21,0.059,77.0,9.4,18.4,Deep Black Clay (Vertisol),1108.3,42.5,0.8623,Extreme Hotspot,273
BPL_CELL_0077,1,36,23.2315,77.4265,MP Nagar Commercial Zone,46.31,0.024,79.0,7.8,18.4,Deep Black Clay (Vertisol),1086.3,42.5,0.9065,Extreme Hotspot,51
BPL_CELL_0078,1,37,23.2315,77.4275,MP Nagar Commercial Zone,46.55,0.044,85.0,10.0,18.2,Deep Black Clay (Vertisol),1111.6,42.5,0.9163,Extreme Hotspot,31
BPL_CELL_0079,1,38,23.2315,77.4285,MP Nagar Commercial Zone,46.11,0.049,77.3,11.6,17.3,Deep Black Clay (Vertisol),1095.2,42.5,0.8799,Extreme Hotspot,157
BPL_CELL_0080,1,39,23.2315,77.4295,MP Nagar Commercial Zone,46.51,0.093,78.4,7.5,16.3,Deep Black Clay (Vertisol),1115.9,42.5,0.8817,Extreme Hotspot,150
BPL_CELL_0081,2,0,23.2325,77.3905,Arera Colony Residential Belt,34.73,0.442,32.5,52.0,9.7,Clay Loam,1095.1,42.5,0.2904,Low Vulnerability,1213
BPL_CELL_0082,2,1,23.2325,77.3915,Arera Colony Residential Belt,33.03,0.439,31.6,46.3,8.2,Clay Loam,1083.2,42.5,0.268,Low Vulnerability,1258
BPL_CELL_0083,2,2,23.2325,77.3925,Arera Colony Residential Belt,34.6,0.443,33.3,51.9,8.1,Clay Loam,1098.0,42.5,0.2901,Low Vulnerability,1215
BPL_CELL_0084,2,3,23.2325,77.3935,Arera Colony Residential Belt,35.11,0.469,39.5,51.0,8.6,Clay Loam,1103.9,42.5,0.3096,Low Vulnerability,1147
BPL_CELL_0085,2,4,23.2325,77.3945,Arera Colony Residential Belt,36.07,0.447,38.6,50.5,9.2,Clay Loam,1082.7,42.5,0.3351,Low Vulnerability,1066
BPL_CELL_0086,2,5,23.2325,77.3955,Arera Colony Residential Belt,35.07,0.416,41.2,44.4,9.4,Clay Loam,1119.9,42.5,0.3484,Low Vulnerability,1046
BPL_CELL_0087,2,6,23.2325,77.3965,Arera Colony Residential Belt,34.79,0.452,40.3,48.5,9.2,Clay Loam,1109.0,42.5,0.3177,Low Vulnerability,1118
BPL_CELL_0088,2,7,23.2325,77.3975,Arera Colony Residential Belt,34.8,0.448,31.0,48.2,6.5,Clay Loam,1082.0,42.5,0.2927,Low Vulnerability,1208
BPL_CELL_0089,2,8,23.2325,77.3985,Arera Colony Residential Belt,35.31,0.442,39.7,51.2,8.0,Clay Loam,1112.0,42.5,0.3243,Low Vulnerability,1094
BPL_CELL_0090,2,9,23.2325,77.3995,Arera Colony Residential Belt,34.55,0.442,33.9,44.1,7.7,Clay Loam,1076.9,42.5,0.3072,Low Vulnerability,1156
BPL_CELL_0091,2,10,23.2325,77.4005,Arera Colony Residential Belt,35.78,0.37,36.6,48.4,8.0,Clay Loam,1127.5,42.5,0.3587,Moderate Vulnerability,1034
BPL_CELL_0092,2,11,23.2325,77.4015,Arera Colony Residential Belt,36.05,0.402,39.4,52.1,9.1,Clay Loam,1107.6,42.5,0.3518,Moderate Vulnerability,1042
BPL_CELL_0093,2,12,23.2325,77.4025,Arera Colony Residential Belt,36.04,0.471,38.8,44.7,10.2,Clay Loam,1117.0,42.5,0.3374,Low Vulnerability,1063
BPL_CELL_0094,2,13,23.2325,77.4035,Arera Colony Residential Belt,36.58,0.422,39.0,45.6,9.2,Clay Loam,1090.5,42.5,0.3661,Moderate Vulnerability,1030
BPL_CELL_0095,2,14,23.2325,77.4045,Arera Colony Residential Belt,35.78,0.395,43.0,52.0,7.5,Clay Loam,1112.4,42.5,0.3602,Moderate Vulnerability,1033
BPL_CELL_0096,2,15,23.2325,77.4055,Arera Colony Residential Belt,33.53,0.395,38.2,50.3,8.4,Clay Loam,1118.5,42.5,0.3064,Low Vulnerability,1160
BPL_CELL_0097,2,16,23.2325,77.4065,Arera Colony Residential Belt,33.8,0.432,30.8,49.9,8.3,Clay Loam,1119.8,42.5,0.2758,Low Vulnerability,1246
BPL_CELL_0098,2,17,23.2325,77.4075,Arera Colony Residential Belt,36.55,0.493,39.7,48.1,9.4,Clay Loam,1106.6,42.5,0.3341,Low Vulnerability,1068
BPL_CELL_0099,2,18,23.2325,77.4085,Arera Colony Residential Belt,34.64,0.445,37.3,46.5,8.8,Clay Loam,1090.4,42.5,0.3129,Low Vulnerability,1135
BPL_CELL_0100,2,19,23.2325,77.4095,Arera Colony Residential Belt,36.36,0.474,32.3,47.9,8.6,Clay Loam,1126.9,42.5,0.3167,Low Vulnerability,1121
BPL_CELL_0101,2,20,23.2325,77.4105,Arera Colony Residential Belt,36.03,0.465,30.1,48.4,8.1,Clay Loam,1099.4,42.5,0.3065,Low Vulnerability,1159
BPL_CELL_0102,2,21,23.2325,77.4115,Arera Colony Residential Belt,33.59,0.444,34.5,48.8,9.7,Clay Loam,1088.4,42.5,0.2802,Low Vulnerability,1239
BPL_CELL_0103,2,22,23.2325,77.4125,Arera Colony Residential Belt,33.91,0.423,32.4,47.4,8.5,Clay Loam,1112.2,42.5,0.2914,Low Vulnerability,1210
BPL_CELL_0104,2,23,23.2325,77.4135,Arera Colony Residential Belt,33.99,0.437,38.6,49.4,8.9,Clay Loam,1077.2,42.5,0.3015,Low Vulnerability,1180
BPL_CELL_0105,2,24,23.2325,77.4145,MP Nagar Commercial Zone,44.71,0.049,82.0,11.4,16.5,Deep Black Clay (Vertisol),1128.6,42.5,0.8673,Extreme Hotspot,239
BPL_CELL_0106,2,25,23.2325,77.4155,MP Nagar Commercial Zone,46.34,0.036,80.6,11.1,18.1,Deep Black Clay (Vertisol),1083.6,42.5,0.9002,Extreme Hotspot,69
BPL_CELL_0107,2,26,23.2325,77.4165,MP Nagar Commercial Zone,46.27,0.065,78.3,9.0,18.8,Deep Black Clay (Vertisol),1111.8,42.5,0.8849,Extreme Hotspot,129
BPL_CELL_0108,2,27,23.2325,77.4175,MP Nagar Commercial Zone,46.02,0.102,86.0,5.0,17.9,Deep Black Clay (Vertisol),1104.4,42.5,0.8961,Extreme Hotspot,81
BPL_CELL_0109,2,28,23.2325,77.4185,MP Nagar Commercial Zone,45.25,0.066,81.5,10.4,18.7,Deep Black Clay (Vertisol),1119.3,42.5,0.8714,Extreme Hotspot,209
BPL_CELL_0110,2,29,23.2325,77.4195,MP Nagar Commercial Zone,45.83,0.05,81.8,8.8,17.6,Deep Black Clay (Vertisol),1079.0,42.5,0.8931,Extreme Hotspot,100
BPL_CELL_0111,2,30,23.2325,77.4205,MP Nagar Commercial Zone,45.49,0.05,82.8,9.4,17.9,Deep Black Clay (Vertisol),1117.4,42.5,0.8883,Extreme Hotspot,116
BPL_CELL_0112,2,31,23.2325,77.4215,MP Nagar Commercial Zone,44.98,0.066,85.2,6.4,18.1,Deep Black Clay (Vertisol),1121.6,42.5,0.8853,Extreme Hotspot,126
BPL_CELL_0113,2,32,23.2325,77.4225,MP Nagar Commercial Zone,46.97,0.058,77.5,6.7,17.7,Deep Black Clay (Vertisol),1082.5,42.5,0.9034,Extreme Hotspot,60
BPL_CELL_0114,2,33,23.2325,77.4235,MP Nagar Commercial Zone,44.02,0.071,86.0,9.0,18.2,Deep Black Clay (Vertisol),1074.5,42.5,0.8619,Extreme Hotspot,278
BPL_CELL_0115,2,34,23.2325,77.4245,MP Nagar Commercial Zone,47.18,0.061,78.6,8.1,17.9,Deep Black Clay (Vertisol),1112.2,42.5,0.9066,Extreme Hotspot,49
BPL_CELL_0116,2,35,23.2325,77.4255,MP Nagar Commercial Zone,47.6,0.016,82.5,12.5,17.2,Deep Black Clay (Vertisol),1107.5,42.5,0.9351,Extreme Hotspot,10
BPL_CELL_0117,2,36,23.2325,77.4265,MP Nagar Commercial Zone,45.09,0.001,77.1,11.2,16.8,Deep Black Clay (Vertisol),1119.6,42.5,0.8797,Extreme Hotspot,158
BPL_CELL_0118,2,37,23.2325,77.4275,MP Nagar Commercial Zone,44.63,0.076,81.9,7.7,19.0,Deep Black Clay (Vertisol),1104.2,42.5,0.8623,Extreme Hotspot,274
BPL_CELL_0119,2,38,23.2325,77.4285,MP Nagar Commercial Zone,46.09,0.075,79.0,5.2,18.7,Deep Black Clay (Vertisol),1099.6,42.5,0.8873,Extreme Hotspot,120
BPL_CELL_0120,2,39,23.2325,77.4295,MP Nagar Commercial Zone,45.83,0.067,81.5,7.1,18.1,Deep Black Clay (Vertisol),1085.0,42.5,0.8889,Extreme Hotspot,115
BPL_CELL_0121,3,0,23.2335,77.3905,Arera Colony Residential Belt,36.73,0.482,38.4,44.6,11.5,Clay Loam,1110.3,42.5,0.3453,Low Vulnerability,1050
BPL_CELL_0122,3,1,23.2335,77.3915,Arera Colony Residential Belt,33.72,0.439,37.0,48.1,7.6,Clay Loam,1109.1,42.5,0.2934,Low Vulnerability,1204
BPL_CELL_0123,3,2,23.2335,77.3925,Arera Colony Residential Belt,35.29,0.43,31.7,45.8,8.2,Clay Loam,1090.9,42.5,0.3163,Low Vulnerability,1123
BPL_CELL_0124,3,3,23.2335,77.3935,Arera Colony Residential Belt,34.82,0.418,40.5,49.7,7.9,Clay Loam,1111.6,42.5,0.3299,Low Vulnerability,1076
BPL_CELL_0125,3,4,23.2335,77.3945,Arera Colony Residential Belt,34.28,0.51,37.7,44.5,7.8,Clay Loam,1089.4,42.5,0.2853,Low Vulnerability,1227
BPL_CELL_0126,3,5,23.2335,77.3955,Arera Colony Residential Belt,35.02,0.47,35.3,39.1,8.3,Clay Loam,1109.5,42.5,0.3194,Low Vulnerability,1111
BPL_CELL_0127,3,6,23.2335,77.3965,Arera Colony Residential Belt,33.9,0.432,37.3,50.6,8.5,Clay Loam,1115.6,42.5,0.2954,Low Vulnerability,1198
BPL_CELL_0128,3,7,23.2335,77.3975,Arera Colony Residential Belt,33.54,0.451,40.2,50.9,8.1,Clay Loam,1111.9,42.5,0.2889,Low Vulnerability,1219
BPL_CELL_0129,3,8,23.2335,77.3985,Arera Colony Residential Belt,36.55,0.496,34.0,46.6,9.1,Clay Loam,1103.1,42.5,0.3193,Low Vulnerability,1113
BPL_CELL_0130,3,9,23.2335,77.3995,Arera Colony Residential Belt,35.76,0.518,42.0,50.9,8.0,Clay Loam,1077.0,42.5,0.3101,Low Vulnerability,1143
BPL_CELL_0131,3,10,23.2335,77.4005,Arera Colony Residential Belt,35.32,0.409,35.1,44.5,8.3,Clay Loam,1128.8,42.5,0.3379,Low Vulnerability,1062
BPL_CELL_0132,3,11,23.2335,77.4015,Arera Colony Residential Belt,36.49,0.441,40.4,43.0,9.7,Clay Loam,1100.5,42.5,0.3662,Moderate Vulnerability,1029
BPL_CELL_0133,3,12,23.2335,77.4025,Arera Colony Residential Belt,36.11,0.399,35.0,53.2,6.9,Clay Loam,1100.5,42.5,0.3389,Low Vulnerability,1058
BPL_CELL_0134,3,13,23.2335,77.4035,Arera Colony Residential Belt,35.87,0.45,33.4,46.8,9.5,Clay Loam,1129.9,42.5,0.3224,Low Vulnerability,1101
BPL_CELL_0135,3,14,23.2335,77.4045,Arera Colony Residential Belt,34.29,0.441,32.9,47.3,7.6,Clay Loam,1097.3,42.5,0.2932,Low Vulnerability,1205
BPL_CELL_0136,3,15,23.2335,77.4055,Arera Colony Residential Belt,34.44,0.432,38.0,46.7,7.5,Clay Loam,1084.0,42.5,0.3158,Low Vulnerability,1127
BPL_CELL_0137,3,16,23.2335,77.4065,Arera Colony Residential Belt,34.84,0.431,35.8,43.3,8.8,Clay Loam,1109.8,42.5,0.3244,Low Vulnerability,1093
BPL_CELL_0138,3,17,23.2335,77.4075,Arera Colony Residential Belt,33.98,0.476,27.1,47.2,8.5,Clay Loam,1100.1,42.5,0.2564,Low Vulnerability,1262
BPL_CELL_0139,3,18,23.2335,77.4085,Arera Colony Residential Belt,33.27,0.407,38.7,45.7,7.6,Clay Loam,1113.3,42.5,0.3075,Low Vulnerability,1155
BPL_CELL_0140,3,19,23.2335,77.4095,Arera Colony Residential Belt,34.64,0.403,38.7,49.9,9.2,Clay Loam,1128.2,42.5,0.3268,Low Vulnerability,1087
BPL_CELL_0141,3,20,23.2335,77.4105,Arera Colony Residential Belt,34.07,0.479,32.0,43.3,9.5,Clay Loam,1092.8,42.5,0.2793,Low Vulnerability,1241
BPL_CELL_0142,3,21,23.2335,77.4115,Arera Colony Residential Belt,33.37,0.421,41.1,48.4,6.9,Clay Loam,1072.2,42.5,0.3053,Low Vulnerability,1166
BPL_CELL_0143,3,22,23.2335,77.4125,Arera Colony Residential Belt,35.96,0.458,46.6,43.1,8.5,Clay Loam,1075.9,42.5,0.3673,Moderate Vulnerability,1028
BPL_CELL_0144,3,23,23.2335,77.4135,Arera Colony Residential Belt,33.84,0.399,30.7,43.7,8.9,Clay Loam,1124.2,42.5,0.3022,Low Vulnerability,1179
BPL_CELL_0145,3,24,23.2335,77.4145,MP Nagar Commercial Zone,47.74,0.075,80.1,12.3,18.4,Deep Black Clay (Vertisol),1104.0,42.5,0.9076,Extreme Hotspot,47
BPL_CELL_0146,3,25,23.2335,77.4155,MP Nagar Commercial Zone,47.08,0.065,78.9,14.8,18.6,Deep Black Clay (Vertisol),1107.2,42.5,0.8903,Extreme Hotspot,111
