cell_id,grid_row,grid_col,latitude,longitude,zone_name,lst_celsius,ndvi,building_density_pct,open_space_pct,road_density_km_per_sqkm,soil_type,annual_rainfall_mm,summer_max_temp_celsius,hvi_score,hvi_category,hvi_rank
BPL_CELL_0437,10,36,23.2405,77.4265,MP Nagar Commercial Zone,46.19,0.035,88.0,7.0,18.7,Deep Black Clay (Vertisol),1076.8,42.5,0.9279,Extreme Hotspot,13
BPL_CELL_0075,1,34,23.2315,77.4245,MP Nagar Commercial Zone,47.16,0.034,80.2,6.0,18.3,Deep Black Clay (Vertisol),1123.8,42.5,0.926,Extreme Hotspot,14
BPL_CELL_0310,7,29,23.2375,77.4195,MP Nagar Commercial Zone,47.55,0.014,78.6,12.2,19.2,Deep Black Clay (Vertisol),1123.8,42.5,0.9241,Extreme Hotspot,15
BPL_CELL_0151,3,30,23.2335,77.4205,MP Nagar Commercial Zone,46.95,0.059,86.1,8.9,17.6,Deep Black Clay (Vertisol),1111.1,42.5,0.9234,Extreme Hotspot,16
BPL_CELL_0465,11,24,23.2415,77.4145,MP Nagar Commercial Zone,46.64,0.016,80.7,6.9,17.8,Deep Black Clay (Vertisol),1082.2,42.5,0.9229,Extreme Hotspot,17
BPL_CELL_0036,0,35,23.2305,77.4255,MP Nagar Commercial Zone,48.0,0.067,77.2,5.0,18.7,Deep Black Clay (Vertisol),1129.7,42.5,0.9222,Extreme Hotspot,18
BPL_CELL_0430,10,29,23.2405,77.4195,MP Nagar Commercial Zone,46.42,0.024,84.8,10.2,18.2,Deep Black Clay (Vertisol),1122.9,42.5,0.9207,Extreme Hotspot,19
BPL_CELL_0185,4,24,23.2345,77.4145,MP Nagar Commercial Zone,46.2,-0.0,79.3,5.0,17.2,Deep Black Clay (Vertisol),1104.7,42.5,0.9206,Extreme Hotspot,20
BPL_CELL_0389,9,28,23.2395,77.4185,MP Nagar Commercial Zone,47.13,0.053,83.7,9.7,16.8,Deep Black Clay (Vertisol),1104.8,42.5,0.9206,Extreme Hotspot,21
BPL_CELL_0266,6,25,23.2365,77.4155,MP Nagar Commercial Zone,47.96,0.073,78.8,7.0,17.0,Deep Black Clay (Vertisol),1077.5,42.5,0.9197,Extreme Hotspot,22
BPL_CELL_0274,6,33,23.2365,77.4235,MP Nagar Commercial Zone,47.04,0.037,81.6,9.5,18.2,Deep Black Clay (Vertisol),1087.4,42.5,0.9195,Extreme Hotspot,23
BPL_CELL_0358,8,37,23.2385,77.4275,MP Nagar Commercial Zone,46.85,0.067,86.3,8.7,16.8,Deep Black Clay (Vertisol),1121.5,42.5,0.9193,Extreme Hotspot,24
BPL_CELL_0273,6,32,23.2365,77.4225,MP Nagar Commercial Zone,46.02,0.001,82.8,9.3,17.1,Deep Black Clay (Vertisol),1089.1,42.5,0.9182,Extreme Hotspot,25
BPL_CELL_0439,10,38,23.2405,77.4285,MP Nagar Commercial Zone,46.64,0.054,83.9,6.5,17.0,Deep Black Clay (Vertisol),1115.8,42.5,0.9179,Extreme Hotspot,26
BPL_CELL_0226,5,25,23.2355,77.4155,MP Nagar Commercial Zone,46.37,-0.017,79.4,11.7,16.5,Deep Black Clay (Vertisol),1078.3,42.5,0.9172,Extreme Hotspot,27
BPL_CELL_0152,3,31,23.2335,77.4215,MP Nagar Commercial Zone,47.35,0.06,79.9,6.7,17.2,Deep Black Clay (Vertisol),1124.2,42.5,0.917,Extreme Hotspot,28
BPL_CELL_0318,7,37,23.2375,77.4275,MP Nagar Commercial Zone,47.71,0.088,82.9,9.2,17.5,Deep Black Clay (Vertisol),1103.9,42.5,0.9164,Extreme Hotspot,29
BPL_CELL_0349,8,28,23.2385,77.4185,MP Nagar Commercial Zone,45.92,0.039,85.0,5.0,17.2,Deep Black Clay (Vertisol),1080.1,42.5,0.9164,Extreme Hotspot,30
