hvi_rank,cell_id,zone_name,lst_celsius,hvi_score,building_density_pct,open_space_pct,recommendation_rank,species_id,common_name,scientific_name,hindi_name,match_score,cooling_value,canopy_spread_m,root_type,justification
7,BPL_CELL_0276,MP Nagar Commercial Zone,46.88,0.937,86.5,5.9,2,SPECIES_12,North Indian Rosewood / Sheesham,Dalbergia sissoo,शीशम,95.0,High,10.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
7,BPL_CELL_0276,MP Nagar Commercial Zone,46.88,0.937,86.5,5.9,3,SPECIES_01,Neem,Azadirachta indica,नीम,90.0,Very High,12.0,Deep Taproot,Very high cooling capacity critical for severe microclimate heat island | Deep taproot is safe near paved sidewalks and building foundations | Large crown may conflict with adjacent overhead utilities/structures | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
8,BPL_CELL_0228,MP Nagar Commercial Zone,47.25,0.9367,86.8,8.2,1,SPECIES_05,Karanj,Millettia pinnata,करंज,100.0,High,9.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
8,BPL_CELL_0228,MP Nagar Commercial Zone,47.25,0.9367,86.8,8.2,2,SPECIES_12,North Indian Rosewood / Sheesham,Dalbergia sissoo,शीशम,95.0,High,10.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
8,BPL_CELL_0228,MP Nagar Commercial Zone,47.25,0.9367,86.8,8.2,3,SPECIES_01,Neem,Azadirachta indica,नीम,90.0,Very High,12.0,Deep Taproot,Very high cooling capacity critical for severe microclimate heat island | Deep taproot is safe near paved sidewalks and building foundations | Large crown may conflict with adjacent overhead utilities/structures | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
9,BPL_CELL_0159,MP Nagar Commercial Zone,47.95,0.9353,79.4,5.0,1,SPECIES_05,Karanj,Millettia pinnata,करंज,100.0,High,9.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
9,BPL_CELL_0159,MP Nagar Commercial Zone,47.95,0.9353,79.4,5.0,2,SPECIES_12,North Indian Rosewood / Sheesham,Dalbergia sissoo,शीशम,95.0,High,10.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
9,BPL_CELL_0159,MP Nagar Commercial Zone,47.95,0.9353,79.4,5.0,3,SPECIES_01,Neem,Azadirachta indica,नीम,90.0,Very High,12.0,Deep Taproot,Very high cooling capacity critical for severe microclimate heat island | Deep taproot is safe near paved sidewalks and building foundations | Large crown may conflict with adjacent overhead utilities/structures | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
10,BPL_CELL_0116,MP Nagar Commercial Zone,47.6,0.9351,82.5,12.5,1,SPECIES_05,Karanj,Millettia pinnata,करंज,100.0,High,9.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
10,BPL_CELL_0116,MP Nagar Commercial Zone,47.6,0.9351,82.5,12.5,2,SPECIES_12,North Indian Rosewood / Sheesham,Dalbergia sissoo,शीशम,95.0,High,10.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
10,BPL_CELL_0116,MP Nagar Commercial Zone,47.6,0.9351,82.5,12.5,3,SPECIES_01,Neem,Azadirachta indica,नीम,90.0,Very High,12.0,Deep Taproot,Very high cooling capacity critical for severe microclimate heat island | Deep taproot is safe near paved sidewalks and building foundations | Large crown may conflict with adjacent overhead utilities/structures | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
